,top1,top2,top5,top7,top10,acc,r_loss
1/epoch:8/set:test/distance:<function eu_distance at 0x7f614049ef50>,"5,6353","11,8160","31,5488","42,9740","55,5263","0,5393","0,4914"
1/epoch:9/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,0534","11,5706","29,9400","41,3107","53,6993","0,5275","0,5029"
2/epoch:1/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"4,1835","9,2346","22,6836","32,4760","44,9644","0,4836","0,5457"
2/epoch:2/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"4,9272","10,1023","23,3963","32,3830","45,0883","0,4938","0,5352"
2/epoch:3/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"5,1441","10,3502","23,7062","33,1577","46,7307","0,5029","0,5256"
2/epoch:4/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"5,0201","10,7840","24,0161","33,1577","47,7533","0,5095","0,5188"
2/epoch:5/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"4,8342","10,7220","24,2330","33,9015","48,4351","0,5142","0,5136"
2/epoch:6/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"4,6793","10,9699","24,6979","34,8931","49,1788","0,5168","0,5106"
2/epoch:7/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"4,9272","11,0629","25,2557","35,0480","49,3647","0,5196","0,5077"
2/epoch:8/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"4,7722","11,0319","26,0614","35,5748","49,7986","0,5217","0,5055"
2/epoch:9/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"4,8962","11,5277","26,5882","35,7298","49,6126","0,5231","0,5041"
2/epoch:1/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,2165","10,1783","26,2334","35,9683","49,1180","0,5011","0,5298"
2/epoch:2/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,3580","10,5084","26,5635","36,1853","49,6557","0,5079","0,5227"
2/epoch:3/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,6032","10,7160","26,6013","36,9022","50,3820","0,5139","0,5165"
2/epoch:4/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,4995","11,0367","26,9126","37,3455","51,0518","0,5189","0,5110"
2/epoch:5/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,4052","10,9141","27,0258","37,6851","51,8442","0,5224","0,5072"
2/epoch:6/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,3391","11,1593","27,4314","38,0907","52,0989","0,5247","0,5047"
