,top1,top2,top5,top7,top10,acc,r_loss
0/epoch:8/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,4.4949329846355015,8.532200065380843,23.929388689114088,33.83458646616541,44.62242562929062,0.5102795751191701,0.5152143158540888
0/epoch:9/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,4.184373978424322,8.597580908793724,25.48218372016999,35.53448839490029,46.92710035959464,0.5340661228675692,0.4905625868470717
0/epoch:1/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,7.785665216395695,14.105793450881611,31.348752003663844,42.9814517975727,60.01831921227387,0.5515274698445445,0.4765539452366414
0/epoch:2/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,8.037554385161439,13.96839935882757,33.68445156858255,44.76757499427524,60.04121822761621,0.556530133961588,0.47157890407420366
0/epoch:3/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,6.320128234485917,12.869246622395236,30.890771696817037,42.04259216853675,58.27799404625601,0.5406839503015378,0.48949956054832894
0/epoch:4/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,7.785665216395695,13.09823677581864,32.7455919395466,43.64552324250057,58.34669109228303,0.5510637261753614,0.47916468256733724
0/epoch:5/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,7.121593771467827,13.556217082665446,31.783833295168307,44.2866956720861,60.63659262651706,0.5590920969762448,0.47156698855985035
0/epoch:6/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,6.480421341882299,12.686054499656514,30.730478589420656,42.50057247538356,56.377375772841766,0.5376256321294309,0.49505169850249753
0/epoch:7/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,7.648271124341654,15.54843141744905,33.77604762995191,44.24089764140142,58.575681245706434,0.5459208162849392,0.4870767621067003
0/epoch:8/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,7.5566750629722925,14.861460957178842,36.08884817952828,47.44675978932906,60.75108770322876,0.5676579789451153,0.46493029584243484
0/epoch:9/set:val/distance:<function cosine_distance at 0x7f701f1ddf50>,8.747423860773987,14.014197389512251,35.33318067323105,46.89718342111289,60.24730936569728,0.5642151729011318,0.46826504131337826
0/epoch:1/set:test/distance:<function cosine_distance at 0x7f701f1ddf50>,5.949656750572083,11.376266753841124,29.19254658385093,38.492971559333114,48.26740764955868,0.5388006828996114,0.4855032054321038
0/epoch:2/set:test/distance:<function cosine_distance at 0x7f701f1ddf50>,5.835240274599542,11.310885910428244,30.941484145145473,41.108205295848315,52.32101994115724,0.5590023610936777,0.46560246491525537
0/epoch:3/set:test/distance:<function cosine_distance at 0x7f701f1ddf50>,5.655442955214122,13.059823471722785,30.369401765282774,38.99967309578294,49.54233409610984,0.5419870646471829,0.48443232804721353
0/epoch:4/set:test/distance:<function cosine_distance at 0x7f701f1ddf50>,5.132396207911082,9.839816933638444,28.931023210199413,38.91794704151683,50.78457012095456,0.5500913039614725,0.47701341951931797
0/epoch:5/set:test/distance:<function cosine_distance at 0x7f701f1ddf50>,6.7669172932330826,11.948349133703825,29.53579601176855,39.244851258581235,50.45766590389016,0.5473684335882243,0.48024691776654976
0/epoch:6/set:test/distance:<function cosine_distance at 0x7f701f1ddf50>,4.952598888525662,10.068649885583524,27.492644655116052,36.90748610657077,48.8558352402746,0.5322989028877986,0.4968663572834977
0/epoch:7/set:test/distance:<function cosine_distance at 0x7f701f1ddf50>,5.982347172278522,11.997384766263485,28.50604772801569,37.234390323635175,51.37299771167048,0.5497965480792484,0.480534342326346
